PubId,visit_date,Unique_Visitors,Visits,New_Visits,Avg_Duration,Pages_Visits,Bounce_Rate,Seller_Clicks,Searches
29,20131201,"1,764","2,019",385,0:16:30,4.59,24.62%,777,367
30,20140105,"1,764","2,006",76,0:04:48,2.35,54.84%,416,122
30,20140101,"1,761","1,982",154,0:05:45,2.42,56.10%,441,125
509,20131201,"1,752","1,835",664,0:03:33,1.76,35.91%,252,64
356889,20131202,"1,747","1,837","1,360",0:02:11,2.08,47.63%,576,88
30,20131219,"1,744","1,965",127,0:03:30,2.06,60.61%,345,122
356889,20131203,"1,739","1,803","1,364",0:02:09,2.31,43.76%,554,122
356893,20131223,"1,739","1,832","1,377",0:02:16,2.37,45.58%,534,135
358094,20131218,"1,734","1,764","1,470",0:00:25,1.23,87.19%,17,10
356893,20131222,"1,715","1,791","1,372",0:02:57,2.2,39.14%,632,125
30,20131227,"1,698","1,940",135,0:04:33,2.28,58.71%,402,157
356893,20140113,"1,698","1,752","1,340",0:02:18,2.34,42.52%,566,118
356893,20140108,"1,695","1,774","1,333",0:02:06,2.18,44.19%,612,142
509,20131208,"1,695","1,783",676,0:03:38,1.65,39.15%,198,64
29,20131202,"1,685","1,886",328,0:12:27,3.82,29.64%,688,282
354282,20131201,"1,685","1,827",566,0:04:06,2.97,19.59%,865,132
30,20131228,"1,680","1,884",120,0:04:10,2.24,56.05%,431,132
356893,20140112,"1,680","1,774","1,333",0:02:11,2.23,43.07%,632,147
30,20131230,"1,676","1,896",108,0:04:07,2.11,55.54%,441,137
356893,20140107,"1,673","1,754","1,296",0:02:10,2.12,47.09%,536,132
509,20131202,"1,668","1,774",710,0:04:56,1.72,37.71%,198,64
30,20131221,"1,666","1,879",122,0:02:36,2.1,58.91%,367,135
30,20131222,"1,661","1,891",115,0:02:37,2.09,58.70%,385,125
509,20131212,"1,661","1,737",747,0:02:38,1.6,38.23%,206,47
356889,20131208,"1,654","1,717","1,306",0:02:25,2.23,42.81%,630,122
509,20131209,"1,646","1,722",696,0:03:02,1.62,36.70%,191,56
509,20140113,"1,644","1,734",701,0:04:50,1.68,37.14%,171,71
30,20140104,"1,636","1,867",125,0:03:41,2.22,55.76%,394,122
356893,20140106,"1,634","1,712","1,284",0:02:18,2.04,46.38%,541,100
509,20140115,"1,631","1,703",657,0:04:06,1.71,39.69%,147,86
356893,20140110,"1,629","1,707","1,320",0:03:20,2.2,45.34%,512,120
356893,20140109,"1,627","1,690","1,306",0:02:03,2.07,43.91%,534,108
356889,20131205,"1,622","1,676","1,308",0:02:32,2.36,44.57%,534,98
509,20131207,"1,617","1,690",706,0:03:11,1.67,38.28%,208,47
356889,20131204,"1,614","1,671","1,257",0:02:05,2.23,41.95%,541,145
509,20140111,"1,614","1,690",681,0:03:47,1.66,37.99%,145,91
30,20140103,"1,609","1,832",105,0:04:17,2.24,56.28%,375,120
356893,20131220,"1,587","1,641","1,235",0:02:44,2.02,44.91%,532,145
356893,20131231,"1,578","1,651","1,227",0:02:21,2.17,44.82%,544,140
509,20131211,"1,578","1,646",691,0:03:26,1.7,38.52%,196,49
509,20140112,"1,578","1,658",647,0:04:29,1.76,36.49%,206,78
509,20131216,"1,573","1,641",683,0:02:54,1.71,38.21%,220,54
30,20131220,"1,565","1,820",100,0:03:34,2.46,53.68%,404,167
509,20131213,"1,565","1,639",688,0:02:07,1.55,40.33%,169,37
509,20140114,"1,556","1,617",654,0:02:32,1.73,37.85%,96,64
509,20131204,"1,551","1,607",642,0:03:38,1.66,35.84%,189,59
356893,20131225,"1,536","1,609","1,244",0:03:56,2.37,44.62%,507,115
29,20131212,"1,529","1,715",333,0:13:00,4.24,32.30%,556,213
354282,20140111,"1,526","1,607",571,0:04:27,3.41,20.91%,725,113
509,20131210,"1,516","1,592",634,0:03:27,1.86,35.99%,189,69
356894,20131201,"1,514","1,548","1,244",0:03:15,2.2,41.28%,630,91
30,20140115,"1,507","1,734",96,0:04:26,2.38,56.52%,328,132
356889,20131209,"1,507","1,575","1,215",0:02:02,2.13,44.95%,505,96
30,20140113,"1,499","1,663",120,0:02:45,2.18,60.25%,274,103
30,20131223,"1,497","1,759",81,0:04:28,2.4,57.25%,387,125
354282,20140104,"1,494","1,570",559,0:04:06,2.97,19.81%,723,122
30,20140107,"1,487","1,703",125,0:03:54,2.49,57.55%,377,96
509,20131214,"1,487","1,560",642,0:02:43,1.67,37.24%,176,39
30,20140106,"1,484","1,698",118,0:04:31,2.23,54.53%,389,130
30,20140111,"1,470","1,676",103,0:04:38,2.41,58.47%,333,98
354282,20131214,"1,467","1,558",465,0:05:40,3.5,21.57%,730,118
509,20131226,"1,467","1,538",608,0:04:15,1.8,40.31%,176,61
356889,20131207,"1,460","1,529","1,119",0:02:49,2.46,42.45%,490,98
30,20140112,"1,458","1,671",100,0:05:58,2.28,58.47%,355,135
30,20140108,"1,455","1,676",96,0:04:50,2.46,55.55%,350,152
356889,20131211,"1,450","1,509","1,115",0:02:18,2.14,49.37%,436,86
509,20131206,"1,445","1,519",593,0:03:30,1.84,33.57%,186,47
30,20140114,"1,443","1,595",113,0:03:22,2.23,56.80%,365,93
509,20131217,"1,443","1,509",615,0:04:10,1.68,41.42%,149,49
356894,20131202,"1,435","1,480","1,142",0:02:38,2.14,44.86%,524,83
356889,20131206,"1,433","1,516","1,102",0:02:31,2.3,46.04%,458,118
30,20131231,"1,418","1,612",86,0:03:57,2.25,57.13%,338,98
356889,20131210,"1,413","1,462","1,112",0:02:39,2.29,44.73%,522,78
29,20131205,"1,406","1,627",318,0:11:37,4.33,28.33%,563,230
30,20140109,"1,404","1,605",86,0:04:36,2.1,56.64%,323,96
509,20131203,"1,399","1,467",634,0:02:55,1.77,35.58%,184,37
509,20140109,"1,396","1,440",588,0:04:17,1.72,41.18%,174,51
30,20131225,"1,391","1,634",120,0:05:03,2.38,60.40%,318,127
354282,20131228,"1,379","1,467",458,0:05:18,3.79,17.38%,696,118
509,20131205,"1,379","1,460",549,0:04:21,1.92,33.36%,198,59
509,20140108,"1,369","1,416",590,0:02:52,1.73,35.10%,186,49
509,20131230,"1,357","1,404",556,0:03:34,1.67,36.11%,135,59
356889,20131215,"1,345","1,391","1,026",0:02:30,2.24,44.36%,438,86
356893,20131224,"1,342","1,374","1,080",0:02:02,2.17,45.49%,456,78
30,20140110,"1,340","1,514",91,0:04:26,2.56,58.26%,299,83
356889,20131212,"1,333","1,374","1,051",0:02:21,2.2,50.29%,367,88
509,20131220,"1,306","1,352",522,0:02:36,1.54,40.24%,145,29
509,20140104,"1,303","1,367",519,0:06:16,1.91,35.84%,169,54
29,20131210,"1,298","1,450",309,0:14:55,4.27,30.55%,546,220
356894,20131209,"1,289","1,318","1,041",0:04:13,2.09,43.10%,446,83
356889,20131213,"1,286","1,352",977,0:03:13,2.03,45.12%,421,113
356889,20131216,"1,286","1,333","1,002",0:01:48,2.04,43.36%,412,78
509,20140107,"1,286","1,360",588,0:03:14,1.75,34.41%,174,49
29,20131208,"1,284","1,458",230,0:09:58,3.5,32.24%,480,149
356889,20131214,"1,281","1,335","1,014",0:01:56,2.09,44.57%,389,83
509,20131215,"1,281","1,342",519,0:03:51,1.8,38.30%,174,44
509,20131221,"1,279","1,318",529,0:02:53,1.7,41.05%,142,61
