PubId,PubName,PubGroupId,PubGroupName
50667,treo600net,390,Affiliates
2131,gatorcollect2,83,Gator Banners
2169,gator0,83,Gator Banners
2456,ggsi hotel calibex,6,Google US
2520,google select test1,6,Google US
2521,google select test2,6,Google US
2462,gotoi nontech calibex,2,Yahoo US
2317,comcast home mort ad,447,Comcast Banners
685,fw baby,5,Findwhat
2447,Intellicast travel dest ad,464,Intellicast Group Banners
2546,Cheaptickets mort ad,127,Unclassified Banner Pubs
2540,gotoc carparts2,2,Yahoo US
2501,yahoo hotel uk broad,131,Yahoo UK
2212,gotoi realtor,2,Yahoo US
2123,goto content baby,2,Yahoo US
2209,homestore mort ad,127,Unclassified Banner Pubs
2577,weatherbug product ad,523,Weatherbug Banners
2208,gotodebtc,2,Yahoo US
2638,gotoi holiday,2,Yahoo US
2639,gotoi holiday calibex,2,Yahoo US
2655,findwhat premium,5,Findwhat
1847,ink airfare,7,Inktomi US
2560,weather home equity,522,Weather.com Banners
2533,ggs test2,6,Google US
692,ggshg,6,Google US
1747,ggs hotel,6,Google US
2442,ggsi cloth test1,6,Google US
2716,ggsi mort calibex,6,Google US
2713,gotoi mort calibex,2,Yahoo US
2712,gotoc mort calibex,2,Yahoo US
2709,gotoi flowers uk,131,Yahoo UK
2440,whenu cloth,211,WhenU Banners
902,lyc mortgage,9,247 Real Media Banners
2547,industrybrains,1,IndustryBrains
1998,gator nontech,83,Gator Banners
1821,fwrealtor,5,Findwhat
1871,fw carparts,5,Findwhat
797,avcars,3,Altavista
599,ggp autoloan,1,IndustryBrains
794,avautoins,3,Altavista
2528,ggsic cars,6,Google US
205,ggp0,6,Google US
165,aj banner,10,Dart
2391,gotoi uk hg,131,Yahoo UK
593,gotoautoloan,2,Yahoo US
1875,ggsiautoloan,6,Google US
2108,ls collect2,8,Looksmart
1873,lyc carparts,9,247 Real Media Banners
1279,gg autoins broad,6,Google US
226,fw sport,5,Findwhat
2172,ls rentalcar,8,Looksmart
2167,ggs uk,132,Google UK
1027,gg cars broad,6,Google US
746,ggp exact,1,IndustryBrains
2168,ink product uk,314,Inktomi UK
2104,lshg,8,Looksmart
2216,ggsc hotel,6,Google US
924,lsicars,8,Looksmart
1386,fast calibex,4,Fast
1604,avusedcar,3,Altavista
1278,lsihealth,8,Looksmart
2161,goto rentalcar,2,Yahoo US
2820,ggsi traveldeals,6,Google US
2773,weather home garden mort ad,522,Weather.com Banners
2776,weather desktop mort ad,522,Weather.com Banners
784,fw cars,5,Findwhat
2858,ggi tech,6,Google US
2327,juno mort ad,313,United Online Banners
2457,yahoo hotel calibex broad,2,Yahoo US
146,av 160x600,363,others
504,mamma,363,others
508,yahoo cloth broad,2,Yahoo US
589,gotobroadband,2,Yahoo US
592,ggsautoloan,6,Google US
602,fw longdist,5,Findwhat
796,avmort2,3,Altavista
845,ajmort,363,others
868,altavista_ros,363,others
886,lyc webhost,9,247 Real Media Banners
891,lyc debtc,9,247 Real Media Banners
1304,sevensearchXML,363,others
50223,danor,390,Affiliates
50261,kweilbacher,390,Affiliates
50062,Martin Klaus,390,Affiliates
214,ink webhost,7,Inktomi US
1206,lsiwebhost,8,Looksmart
1226,fast mortgage,4,Fast
1684,gotohealth,127,Unclassified Banner Pubs
